trailer,genre,likes_this_genre,sd_ratio,valence,arousal,will_watch,cat_will_watch,already_watched_trailer,already_watched_film
11,history,0,1.3940379416703357,7,4,0.6,1,0,0
12,history,0,1.9003670436542148,5,3,0.2,0,0,0
13,horror,-1,1.0748829154136186,4,4,0.0,0,0,0
14,horror,-1,1.6611739125190723,1,5,0.0,0,0,0
15,horror,-1,2.2090814724199674,4,5,0.0,0,0,0
16,romance,1,1.6720809908900969,9,7,1.0,1,1,0
17,romance,1,1.593027839109068,9,9,1.0,1,0,0
18,romance,1,1.6582735829318958,5,3,0.5,1,0,0
19,scifi,-1,1.3142642198583647,5,7,0.8,1,0,0
20,scifi,-1,1.5139978003906067,5,5,0.6,1,0,0
21,scifi,-1,1.9223109175565227,5,3,0.4,0,0,0
1,action,1,2.373775092372275,6,5,1.0,1,0,1
2,action,1,2.3153435376629714,5,5,0.2,0,0,0
3,action,1,2.514184903386654,7,7,0.3,0,0,0
4,comedy,1,2.774229563181355,7,5,0.1,0,0,0
5,comedy,1,2.0740844449129696,8,7,0.6,1,0,0
6,comedy,1,2.873168902695875,8,8,0.5,1,0,0
7,drama,0,2.337879377514501,2,4,0.2,0,0,0
8,drama,0,2.3994576029669727,3,3,0.1,0,0,0
9,drama,0,1.931540758467147,4,3,0.2,0,0,0
10,history,0,2.483803813352668,7,6,0.3,0,0,0
11,history,0,3.0931674232704807,7,4,0.1,0,0,0
12,history,0,3.030241901336973,7,6,0.4,0,0,0
13,horror,0,2.462274052759392,5,5,0.2,0,0,0
14,horror,0,2.272676057856594,4,5,0.2,0,0,0
15,horror,0,2.83432450543726,5,7,0.5,1,0,0
16,romance,-1,3.645426107252126,5,4,0.1,0,0,0
17,romance,-1,2.852148332955861,6,3,0.1,0,0,0
18,romance,-1,2.838703460828345,4,5,0.1,0,0,0
19,scifi,1,2.10370771193957,5,6,0.3,0,0,0
20,scifi,1,2.4037482132312715,5,5,0.2,0,0,0
21,scifi,1,2.8100172274285184,4,5,0.1,0,0,0
1,action,1,2.479206506945004,6,4,0.5,1,0,0
2,action,1,2.363435656281794,7,6,0.7,1,1,0
3,action,1,2.8530244346973896,7,8,0.8,1,0,0
4,comedy,1,2.2260642223129774,7,4,1.0,1,1,1
5,comedy,1,2.664599533296035,8,6,1.0,1,0,0
6,comedy,1,2.234555552221566,6,6,0.6,1,0,0
7,drama,-1,2.1060416644240383,5,7,0.7,1,0,0
